編號,所屬單位,安裝地址,攝影方向
LAAB026-01,大同分局 民族路派出所,民族西路252巷3號旁燈桿,南
LAAB027-01,大同分局 民族路派出所,承德路3段99巷1號旁,東
LAAB028-01,大同分局 民族路派出所,民族西路221巷7號對面,北
LAAB030-01,大同分局 民族路派出所,承德路3段與民族西路南側分隔島,南
LAAB031-01,大同分局 民族路派出所,延平北路3段111號右側燈桿,東
LAAB032-01,大同分局 民族路派出所,民族西路264號前燈桿,東
LAAB034-01,大同分局 民族路派出所,民族西路231號前,北
LAAB035-01,大同分局 民族路派出所,延平北路3段83號前號誌桿,北
LAAB036-01,大同分局 民族路派出所,重慶北路3段238號旁,西
LAAB037-01,大同分局 民族路派出所,重慶北路3段120巷27號燈桿,東
LAAB038-01,大同分局 民族路派出所,重慶北路3段136巷1號前,西
LAAB039-01,大同分局 民族路派出所,重慶北路3段152巷1號,西
LAAB040-01,大同分局 民族路派出所,重慶北路3段120巷45號旁,北
LAAB041-01,大同分局 民族路派出所,昌吉街164號前,西
LAAB042-01,大同分局 民族路派出所,重慶北路3段120巷27號燈桿,西
LAAB043-01,大同分局 民族路派出所,重慶北路3段180號前,南
LAAB044-01,大同分局 民族路派出所,重慶北路3段236巷44-2號旁壁掛,南
LAAB045-01,大同分局 民族路派出所,延平北路3段99巷3弄5號前燈桿,東
LAAB046-01,大同分局 民族路派出所,民族西路182巷1號燈桿,南
LAAB048-01,大同分局 民族路派出所,昌吉街61巷33號,南
LAAB049-01,大同分局 民族路派出所,重慶北路3段111號,東
LAAB050-01,大同分局 民族路派出所,重慶北路3段137巷9號前,東
LAAB051-01,大同分局 民族路派出所,昌吉街61巷33號,東
LAAB052-01,大同分局 民族路派出所,昌吉街81巷1號,北
LAAB053-01,大同分局 民族路派出所,重慶北路3段137巷56號,西
LAAB054-01,大同分局 民族路派出所,昌吉街81巷27弄1號,東
LAAB055-01,大同分局 民族路派出所,昌吉街61巷9弄2號,東
LAAB056-01,大同分局 民族路派出所,大龍街163號前燈桿,南
LAAB057-01,大同分局 民族路派出所,重慶北路3段113巷30弄28號燈桿,東
LAAB058-01,大同分局 民族路派出所,昌吉街100號,西
LAAB059-01,大同分局 民族路派出所,昌吉街55號(與大龍街西北角號誌桿),北
LAAB060-01,大同分局 民族路派出所,大龍街136號前,西
LAAB062-01,大同分局 民族路派出所,民族西路210號,東
LAAB063-01,大同分局 民族路派出所,重慶北路3段137巷6弄8號,北
LAAB066-01,大同分局 民族路派出所,昌吉街33巷25號對面(大龍街87巷底),南
LAAB067-01,大同分局 民族路派出所,民族西路32巷34號,南
LAAB068-01,大同分局 民族路派出所,承德路3段85巷11號,北
LAAB069-01,大同分局 民族路派出所,重慶北路3段113巷66號前燈桿,東
LAAB070-01,大同分局 民族路派出所,民族西路76巷口,南
LAAB071-01,大同分局 民族路派出所,承德路3段133號旁號誌,東
LAAB072-01,大同分局 民族路派出所,承德路3段87號,東
LAAB073-01,大同分局 民族路派出所,昌吉街35號,東北
LAAB074-01,大同分局 民族路派出所,承德路3段110號旁(108巷口),東
LAAB075-01,大同分局 民族路派出所,承德路3段88號旁,西
LAAB077-01,大同分局 民族路派出所,承德路3段145號旁燈桿,東
LAAB078-01,大同分局 民族路派出所,承德路3段159巷25號前燈桿,西
LAAB079-01,大同分局 民族路派出所,承德路3段113巷1號旁,東
LAAB080-01,大同分局 民族路派出所,大龍街159巷16號對面,西
LAAB081-01,大同分局 民族路派出所,大龍街85巷8號前燈桿,東
LAAB083-01,大同分局 民族路派出所,承德路3段120號旁,西
LAAB085-01,大同分局 民族路派出所,大龍街91巷19號,東
LAAB086-01,大同分局 民族路派出所,民族西路134號前燈桿,東
LAAB087-01,大同分局 民族路派出所,大龍街89巷1號,東
LAAB089-01,大同分局 民族路派出所,重慶北路3段236巷45弄2號,北
LAAC001-01,大同分局 重慶北路派出所,承德路3段214巷2號旁 ,西
LAAC002-01,大同分局 重慶北路派出所,大龍街215巷15號,北
LAAC003-01,大同分局 重慶北路派出所,北市大同區承德路3段208巷17號(對面燈桿)路口監控,東
LAAC004-01,大同分局 重慶北路派出所,大龍街223號前,北
LAAC005-01,大同分局 重慶北路派出所,承德路3段193號旁,東
LAAC009-01,大同分局 重慶北路派出所,民族西路73號前,西
LAAC010-01,大同分局 重慶北路派出所,酒泉街12號,東
LAAC011-01,大同分局 重慶北路派出所,承德路3段176巷14號牆上,北
LAAC013-01,大同分局 重慶北路派出所,民族西路31巷8號前,南
LAAC014-01,大同分局 重慶北路派出所,酒泉街50號,東南
LAAC015-01,大同分局 重慶北路派出所,重慶北路3段205巷30號,西
LAAC017-01,大同分局 重慶北路派出所,酒泉街10巷1號,南
LAAC017-02,大同分局 重慶北路派出所,酒泉街10巷1號,北
LAAC018-01,大同分局 重慶北路派出所,承德路3段210號旁,西
LAAC019-01,大同分局 重慶北路派出所,重慶北路3段221號旁,東
LAAC020-01,大同分局 重慶北路派出所,大龍街181號前,北
LAAC021-01,大同分局 重慶北路派出所,重慶北路3段205巷32號,東
LAAC022-01,大同分局 重慶北路派出所,重慶北路3段241號旁,東
LAAC023-01,大同分局 重慶北路派出所,民族西路169巷17號,南
LAAC025-01,大同分局 重慶北路派出所,北市大同區承德路3段216號前路口監控,南
LAAC026-01,大同分局 重慶北路派出所,大龍街187巷4號牌前,東
LAAC027-01,大同分局 重慶北路派出所,民族西路187巷31號牆上,南
LAAC028-01,大同分局 重慶北路派出所,民族西路200號前,北
LAAC029-01,大同分局 重慶北路派出所,北市大同區重慶北路3段269號前路口監控,東
LAAC030-01,大同分局 重慶北路派出所,承德路3段與酒泉街口照路口,西
LAAC031-01,大同分局 重慶北路派出所,重慶北路3段165號前人行道上,西南
LAAC032-01,大同分局 重慶北路派出所,民族西路163號,東
LAAC033-01,大同分局 重慶北路派出所,酒泉街54-1號,西
LAAC034-01,大同分局 重慶北路派出所,承德路3段223號燈桿,北
LAAC035-01,大同分局 重慶北路派出所,民族西路31巷18號旁燈桿,西
LAAC036-01,大同分局 重慶北路派出所,庫倫街13巷4弄3號前,東
LAAC037-01,大同分局 重慶北路派出所,重慶北路3段320號前地下道,西
LAAC037-02,大同分局 重慶北路派出所,重慶北路3段320號前地下道,東
LAAC038-01,大同分局 重慶北路派出所,重慶北路3段310號,北
LAAC039-01,大同分局 重慶北路派出所,延平北路290號前,西
LAAC040-01,大同分局 重慶北路派出所,敦煌路175巷口,北
LAAC041-01,大同分局 重慶北路派出所,延平北路4段197號,北
LAAC042-01,大同分局 重慶北路派出所,重慶北路3段312巷28號前,南
LAAC043-01,大同分局 重慶北路派出所,環河北路2段377號,北
LAAC044-01,大同分局 重慶北路派出所,酒泉街與環河北路路口號誌(污水處理廠旁),東
LAAC045-01,大同分局 重慶北路派出所,延平北路4段157號,北
LAAC046-01,大同分局 重慶北路派出所,酒泉街150號前,東
LAAC047-01,大同分局 重慶北路派出所,重慶北路3段282號牆上,南
LAAC048-01,大同分局 重慶北路派出所,敦煌路131號牆上,東
LAAC049-01,大同分局 重慶北路派出所,敦煌路167號,西
LAAC050-01,大同分局 重慶北路派出所,迪化路2段265號,北
LAAC051-01,大同分局 重慶北路派出所,重慶北路3段336號側牆,西
LAAC052-01,大同分局 重慶北路派出所,延平北路4段282巷26號右前方燈桿,東
LAAC053-01,大同分局 重慶北路派出所,迪化街301號對面,西
LAAC055-01,大同分局 重慶北路派出所,迪化街2段303號對面,南
LAAC056-01,大同分局 重慶北路派出所,哈密街168號,東
LAAC057-01,大同分局 重慶北路派出所,敦煌路與延平北路口,東
LAAC058-01,大同分局 重慶北路派出所,延平北路4段179巷2號.4號對面燈桿,東
LAAC059-01,大同分局 重慶北路派出所,環河北路2段與敦煌路口南側分隔島門型桿,東
LAAC060-01,大同分局 重慶北路派出所,延平北路5段1巷口號誌桿,南
LAAC061-01,大同分局 重慶北路派出所,環河北路2段與敦煌路口西南角(分隔島),北
LAAC062-01,大同分局 重慶北路派出所,延平北路4段243號對面,北
LAAC063-01,大同分局 重慶北路派出所,迪化街2段362號旁燈桿,西
LAAC065-01,大同分局 重慶北路派出所,迪化街2段348號旁燈桿,西
LAAC066-01,大同分局 重慶北路派出所,延平北路4段155號旁號誌桿,東
LAAC067-01,大同分局 重慶北路派出所,酒泉街183號壁掛,西
LAAC068-01,大同分局 重慶北路派出所,延平北路四段污水處理場前天橋旁號誌,南
LAAC069-01,大同分局 重慶北路派出所,敦煌路177號,東
LAAC070-01,大同分局 重慶北路派出所,延平北路4段253號,北
LAAC072-01,大同分局 重慶北路派出所,環河北路二段(6號水門旁安全島上號誌桿),南
LAAC073-01,大同分局 重慶北路派出所,酒泉街258號,西
LAAC075-01,大同分局 重慶北路派出所,承德路3段295號,北
LAAC077-01,大同分局 重慶北路派出所,承德路3段247巷26號右上角,西
LAAC078-01,大同分局 重慶北路派出所,敦煌路80巷3號,北
LAAC079-01,大同分局 重慶北路派出所,哈密街59巷65號,北
LAAC080-01,大同分局 重慶北路派出所,敦煌路148號,東
LAAC081-01,大同分局 重慶北路派出所,哈密街59巷56弄22號,西
LAAC083-01,大同分局 重慶北路派出所,哈密街59巷38弄50號前燈桿,北
LAAC084-01,大同分局 重慶北路派出所,哈密街23巷19號前,東
LAAC085-01,大同分局 重慶北路派出所,承德路與敦煌路東側人行天橋壁掛,東
LAAC086-01,大同分局 重慶北路派出所,哈密街59巷21號,北
LAAC087-01,大同分局 重慶北路派出所,哈密街59巷31弄1號,東
LAAC088-01,大同分局 重慶北路派出所,承德路3段312號前中央分隔島燈桿,南
LAAC089-01,大同分局 重慶北路派出所,承德路3段301巷20號斜對面燈桿,西
LAAC090-01,大同分局 重慶北路派出所,哈密街20巷2號,北
LAAC091-01,大同分局 重慶北路派出所,敦煌路臨21巷口敦煌路27號旁燈桿,北
LAAC092-01,大同分局 重慶北路派出所,重慶北路3段333號前,北
LAAC093-01,大同分局 重慶北路派出所,重慶北路3段337號,東
LAAC094-01,大同分局 重慶北路派出所,承德路3段299巷19號,西
LAAC095-01,大同分局 重慶北路派出所,哈密街59巷38弄50號前燈桿,東
LAAC096-01,大同分局 重慶北路派出所,哈密街59巷91號旁,東
LAAC097-01,大同分局 重慶北路派出所,敦煌路71號﹙包公廟右前側﹚,南
LAAC098-01,大同分局 重慶北路派出所,重慶北路3段383巷口(397-1號斜對面),東
LAAC099-01,大同分局 重慶北路派出所,敦煌路24巷2弄30號底,東
LAAC100-01,大同分局 重慶北路派出所,承德路3段明倫高中東北角後方(承德橋下迴轉道西側),東
LAAC101-01,大同分局 重慶北路派出所,敦煌路72號桿,南
LAAC103-01,大同分局 重慶北路派出所,酒泉街10巷19號旁燈桿,西
LAAC104-01,大同分局 重慶北路派出所,敦煌路21巷口前中央分隔島號誌桿,東
LAAC105-01,大同分局 重慶北路派出所,敦煌路與哈密街59巷口照,南
LAAC106-01,大同分局 重慶北路派出所,承德路與敦煌路東側中央分隔島燈桿,西
LAAC106-02,大同分局 重慶北路派出所,承德路與敦煌路東側中央分隔島燈桿,西
LAAC107-01,大同分局 重慶北路派出所,哈密街59巷77號,西
LAAC108-01,大同分局 重慶北路派出所,哈密街23巷29號旁燈桿(哈密街23巷口),西
LAAC109-01,大同分局 重慶北路派出所,庫倫街11號旁(13巷口),北
LAAC110-01,大同分局 重慶北路派出所,重慶北路三段273號前燈桿,西南
LAAC111-01,大同分局 重慶北路派出所,哈密街74號,東
LAAC112-01,大同分局 重慶北路派出所,哈密街114號,東
LAAC113-01,大同分局 重慶北路派出所,酒泉街109號,西
LAAC114-01,大同分局 重慶北路派出所,大龍街275號旁,北
LAAC115-01,大同分局 重慶北路派出所,哈密街70-1號,西
LAAC116-01,大同分局 重慶北路派出所,北市大同區承德路3段285號前路口監控,北
LAAC117-01,大同分局 重慶北路派出所,庫倫街61巷中段明倫國小後方,北
LAAC118-01,大同分局 重慶北路派出所,哈密街59巷16號,南
LAAC119-01,大同分局 重慶北路派出所,哈密街83巷1號,北
LAAC120-01,大同分局 重慶北路派出所,庫倫街13巷1弄23號,西
LAAC121-01,大同分局 重慶北路派出所,庫倫街57號口,東
LAAC122-01,大同分局 重慶北路派出所,哈密街20巷14號,北
LAAC123-01,大同分局 重慶北路派出所,重慶北路3段295巷1號,東
LAAC124-01,大同分局 重慶北路派出所,哈密街70巷1弄34號,西
LAAC125-01,大同分局 重慶北路派出所,哈密街45巷1弄19號,西
LAAC126-01,大同分局 重慶北路派出所,哈密街50之1號,西
LAAC127-01,大同分局 重慶北路派出所,重慶北路3段295巷40號,北
LAAC128-01,大同分局 重慶北路派出所,哈密街45巷2-1號與68巷口,東
LAAC129-01,大同分局 重慶北路派出所,哈密街68巷29號,西
LAAC130-01,大同分局 重慶北路派出所,庫倫街13巷2弄3號前,東
LAAC131-01,大同分局 重慶北路派出所,哈密街47號,東
LAAC132-01,大同分局 重慶北路派出所,哈密街124號燈桿,西北
LAAC133-01,大同分局 重慶北路派出所,哈密街59巷21弄37號大龍國小後門,東
LAAC134-01,大同分局 重慶北路派出所,承德路3段283巷口往東明倫國小,東
LAAC136-01,大同分局 重慶北路派出所,大龍街哈密街口,西
LAAC137-01,大同分局 重慶北路派出所,重慶北路3段311號,東
LAAC138-01,大同分局 重慶北路派出所,承德路3段287號旁(明倫國小東北角、勞工教育館東南角),西
LAAC139-01,大同分局 重慶北路派出所,哈密街45巷11號對面,南
LAAD001-01,大同分局 民族路派出所,民權西路上台北橋機車道燈桿,西
LAAD002-01,大同分局 民族路派出所,民權西路247號左前橋墩燈桿,北
LAAD002-02,大同分局 民族路派出所,民權西路247號左前橋墩燈桿,西
LAAD003-01,大同分局 民族路派出所,民權西路281號對面燈桿,北
LAAD003-02,大同分局 民族路派出所,民權西路281號對面燈桿,西
LAAD004-01,大同分局 民族路派出所,環河北路2段15號,東
LAAD005-01,大同分局 民族路派出所,環河北路2段45號,東
LAAD005-02,大同分局 民族路派出所,環河北路2段45號,北
LAAD006-01,大同分局 民族路派出所,環河北路2段83號右後方燈桿,東
LAAD007-01,大同分局 民族路派出所,迪化街2段與昌吉街西北角號誌桿,東
LAAD007-02,大同分局 民族路派出所,迪化街2段與昌吉街西北角號誌桿,南
LAAD008-01,大同分局 民族路派出所,迪化街2段36號,北
LAAD009-01,大同分局 民族路派出所,民權西路245巷29號,北
LAAD010-01,大同分局 民族路派出所,延平北路3段66巷2號前燈桿,西
LAAD011-01,大同分局 民族路派出所,昌吉街232號旁燈桿,南
LAAD012-01,大同分局 民族路派出所,延平北路3段53號前燈桿,南
LAAD013-01,大同分局 民族路派出所,延平北路3段與伊寧街西北角(3段40號巷口),南
LAAD013-02,大同分局 民族路派出所,延平北路3段與伊寧街西北角(3段40號巷口),西
LAAD014-01,大同分局 民族路派出所,延平北路3段18巷口,南
LAAD014-02,大同分局 民族路派出所,延平北路3段18巷口,西
LAAD015-01,大同分局 民族路派出所,延平北路3段19號之2,南
LAAD016-01,大同分局 民族路派出所,迪化街2段60號,南
LAAD017-01,大同分局 民族路派出所,伊寧街75巷2之2號前燈桿,北
LAAD018-01,大同分局 民族路派出所,迪化街2段87號,南
LAAD019-01,大同分局 民族路派出所,延平北路3段66巷8號,東
LAAD020-01,大同分局 民族路派出所,伊寧街41號,東
LAAD021-01,大同分局 民族路派出所,昌吉街214號右側(燈桿),東
LAAD022-01,大同分局 民族路派出所,延平北路3段19號之2,北
LAAD023-01,大同分局 民族路派出所,延平北路3段29號,東
LAAD024-01,大同分局 民族路派出所,延平北路3段52號前水泥桿 ,東
LAAD024-02,大同分局 民族路派出所,延平北路3段52號前水泥桿 ,北
LAAD025-01,大同分局 民族路派出所,延平北路3段59號旁,東
LAAD028-01,大同分局 民族路派出所,昌吉街154號,西
LAAD029-01,大同分局 民族路派出所,昌吉街154號,北
LAAD031-01,大同分局 民族路派出所,重慶北路3段25巷32號旁燈桿,東
LAAD032-01,大同分局 民族路派出所,重慶北路3段9巷25號,東
LAAD033-01,大同分局 民族路派出所,重慶北路3段9巷25號,西
LAAD034-01,大同分局 民族路派出所,重慶北路3段與民權西路口中央分隔島,北
LAAD036-01,大同分局 民族路派出所,民權西路225巷口台北橋下,西
LAAD036-02,大同分局 民族路派出所,民權西路225巷口台北橋下,北
LAAD037-02,大同分局 民族路派出所,民權西路與延平北路3段分隔島西側號誌桿,北
LAAD038-01,大同分局 民族路派出所,重慶北路與伊寧街西南角(大橋國小),南
LAAD038-02,大同分局 民族路派出所,重慶北路與伊寧街西南角(大橋國小),西
LAAD040-01,大同分局 民族路派出所,民權西路與蘭州街西北角,南
LAAD040-02,大同分局 民族路派出所,民權西路與蘭州街西北角,東
LAAD041-01,大同分局 民族路派出所,重慶北路3段與民權西路汽車道往三重,西
LAAD044-01,大同分局 民族路派出所,迪化街2段116號燈桿,北
LAAD045-01,大同分局 民族路派出所,環河北路2段95號燈桿,南
LAAD045-02,大同分局 民族路派出所,環河北路2段95號燈桿,北
LAAD046-01,大同分局 民族路派出所,環河北路2段145巷2號對面燈桿,東
LAAD046-02,大同分局 民族路派出所,環河北路2段145巷2號對面燈桿,北
LAAD047-01,大同分局 民族路派出所,環河北路2段163號左前燈桿,東
LAAD048-01,大同分局 民族路派出所,迪化街2段194巷5號,西
LAAD050-01,大同分局 民族路派出所,迪化街2段180巷9-1號,北
LAAD050-02,大同分局 民族路派出所,民族西路277號分隔島燈桿,西
LAAD051-01,大同分局 民族路派出所,延平北路4段8號,南
LAAD052-01,大同分局 民族路派出所,民族西路277號分隔島燈桿,東南
LAAD054-01,大同分局 民族路派出所,迪化街2段151號,北
LAAD055-01,大同分局 民族路派出所,環河北路2段123巷5號,東
LAAD056-01,大同分局 民族路派出所,延平北路3段83號前號誌桿,西
LAAD057-01,大同分局 民族路派出所,延平北路3段104巷1號水泥桿,西
LAAD058-01,大同分局 民族路派出所,迪化街2段172巷21號,北
LAAD059-01,大同分局 民族路派出所,迪化街2段212號,西
LAAD060-01,大同分局 民族路派出所,迪化街2段183號,南
LAAD061-01,大同分局 民族路派出所,迪化街2段與迪化街2段149巷轉角燈桿,南
